'a'ba'ga'qi 阿巴嘎旗
'an'peng'xiang 安棚乡
'an'ping'jie'dao 安平街道
'an'ping'kai'fa'qu 安平开发区
'an'ping'qu 安平区
'an'ping'xian 安平县
'an'ping'xiang 安坪乡
'an'ping'xiang 安平乡
'an'ping'xiang'she'qu 安平巷社区
'an'ping'zhen 安坪镇
'an'ping'zhen 安平镇
'an'pu'zhen 安埔镇
'an'qiang'xiang 安羌乡
'an'qing'lu'jie'dao 安庆路街道
'an'qing'shi 安庆市
'an'qing'zhen 安庆镇
'an'qiu'shi 安丘市
'an'qu'xiang 安曲乡
'an'quan'jing'ying'suo 安全经营所
'an'quan'xiang 安全乡
'an'rao'zhen 安绕镇
'an'ren'xian 安仁县
'an'ren'xiang 安仁乡
'an'ren'zhen 安仁镇
'an'rong'xiang 安荣乡
'an'sai'xian 安塞县
'an'sha'zhen 安沙镇
'an'sha'zhen 安砂镇
'an'shan'dao'jie'dao 鞍山道街道
'an'shan'gang'tie'ji'tuan'gong'si 鞍山钢铁集团公司
'an'shan'gao'xin'ji'shu'chan'ye'kai'fa'qu 鞍山高新技术产业开发区
'an'shan'lu'jie'dao 鞍山路街道
'an'shan'shi 鞍山市
'an'shan'xiang 安山乡
'an'shan'zhen 安山镇
'an'shang'ju'wei'hui 安上居委会
'an'shang'xiang 岸上乡
'an'shang'zhen 庵上镇
'an'sheng'xiang 安胜乡
'an'sheng'xiang 安生乡
'an'shi'zhen 安石镇
'an'shu'zhen 安恕镇
'an'shun'shi 安顺市
'an'shun'yi'zu'xiang 安顺彝族乡
'an'su'zhen 安肃镇
'an'tai'jie'dao 安泰街道
'an'tai'xiang 安太乡
'an'tang'jie'dao 安塘街道
'an'tang'xiang 安塘乡
'an'ting'zhen 安亭镇
'an'tong'jie'dao 安铜街道
'an'tou'tun'zhen 安头屯镇
'an'tou'xiang 安头乡
'an'tu'xian 安图县
'an'tun'xiang 安屯乡
'an'wen'zhen 安文镇
'an'wen'zhen 安稳镇
'an'xi'she'zu'xiang 安溪畲族乡
'an'xi'xian 安西县
'an'xi'xian 安溪县
'an'xi'zhen 安西镇
'an'xi'zhen 安溪镇
'an'xia'ju'wei'hui 安下居委会
'an'xian 安县
'an'xiang'li'she'qu 安翔里社区
'an'xiang'xian 安乡县
'an'xiang'xiang 安香乡
'an'xin'xian 安新县
'an'xin'zhen 安新镇
'an'xin'zhuang'cun 安辛庄村
'an'xing'zhen 安兴镇
'an'ya'zhen 安崖镇
'an'yang'cheng'jie'dao 安阳城街道
'an'yang'jie'dao 安阳街道
'an'yang'shi 安阳市
'an'yang'xian 安阳县
'an'yang'xiang 安阳乡
'an'yang'zhen 安阳镇
'an'ye'xiang 安业乡
'an'yi'jie'dao 安邑街道
'an'yi'xian 安义县
'an'yi'zhen 安宜镇
'an'you'xiang 安猷乡
'an'yu'xiang 安裕乡
'an'yu'zhen 安峪镇
'an'yuan'jing'ji'kai'fa'qu 安源经济开发区
'an'yuan'li'she'qu 安苑里社区
'an'yuan'qu 安源区
'an'yuan'xian 安远县
'an'yuan'xiang 安远乡
'an'yuan'zhen 安远镇
'an'yuan'zhen 安源镇
'an'yue'xian 安岳县
'an'yun'xiang 安云乡
'an'ze'xian 安泽县
'an'zha'xiang 安扎乡
'an'zhai'zhen 安寨镇
'an'zhang'xiang 安障乡
'an'zhen'jie'dao 安贞街道
'an'zhen'li'she'qu 安贞里社区
'an'zhen'xi'li'she'qu 安贞西里社区
'an'zhen'yuan'she'qu 安贞苑社区
'an'zhen'zhen 安镇镇
'an'zhi'nong'chang 安置农场
'an'zhou'ba'cun 安洲坝村
'an'zhou'jie'dao 安洲街道
'an'zhou'zhen 安州镇
'an'zhuang'cun 安庄村
'an'zhuang'zhen 安庄镇
'an'zi'ling'xiang 安子岭乡
'an'zi'shan'xiang 鞍子山乡
'an'zi'xiang 鞍子乡
'an'zi'xiang 安孜乡
'an'zi'ying'xiang 安字营乡
'an'zi'zhen 安字镇
'ang'ang'xi'qu 昂昂溪区
'ang'duo'xiang 昂多乡
'ang'ge'te'le'ke'xiang 昂格特勒克乡
'ang'la'xiang 昂拉乡
'ang'ren'xian 昂仁县
'ang'sai'xiang 昂赛乡
'ang'si'duo'zhen 昂思多镇
'ang'su'zhen 昂素镇
'ang'wu'xiang 昂武乡
'ao'bao'liang'xiang 敖包梁乡
'ao'bao'su'mu 敖包苏木
'ao'ben'tai'su'mu 敖本台苏木
'ao'cheng'zhen 敖城镇
'ao'di'xiang 岙底乡
'ao'di'zhen 凹底镇
'ao'dong'zhen 敖东镇
'ao'er'jin'mu'chang 敖尔金牧场
'ao'feng'jie'dao 鳌峰街道
'ao'han'qi 敖汉旗
'ao'ji'xiang 敖吉乡
'ao'jia'bao'xiang 敖家堡乡
'ao'jia'wan'xiang 奥家湾乡
'ao'jia'zhen 敖家镇
'ao'jiang'zhen 鳌江镇
'ao'jiang'zhen 敖江镇
'ao'le'zhao'qi'zhen 敖勒召其镇
'ao'li'bu'gao'zhen 敖力布皋镇
'ao'li'xiang 坳里乡
'ao'lin'xi'bo'xiang 敖林西伯乡
'ao'ling'xiang 鳌陵乡
'ao'long'bu'la'ge'zhen 敖龙布拉格镇
'ao'lu'gu'ya'xiang 敖鲁古雅乡
'ao'men'te'bie'xing'zheng'qu 澳门特别行政区
'ao'men'te'qu 澳门特区
'ao'nan'xiang 坳南乡
'ao'ping'zhen 敖平镇
'ao'qi'zhen 敖其镇
'ao'qian'zhen 澳前镇
'ao'quan'zhen 敖泉镇
'ao'run'su'mo'su'mu 敖润苏莫苏木
'ao'shan'hua'qiao'nong'chang 敖山华侨农场
'ao'shan'wei'zhen 岙山卫镇
'ao'shang'zhen 坳上镇
'ao'shi'xiang 鳌石乡
'ao'shi'zhen 敖市镇
'ao'te'bei'xi'xiang 奥特贝希乡
'ao'tou'jie'dao 澳头街道
'ao'tou'zhen 鳌头镇
'ao'xi'zhen 鳌溪镇
'ao'xi'zhen 敖溪镇
'ao'xiao'ying'cun 熬硝营村
'ao'yang'jie'dao 敖阳街道
'ao'yang'zhen 鳌阳镇
'ao'yi'ta'ke'zhen 奥依塔克镇
'ao'yi'tuo'ge'la'ke'xiang 奥依托格拉克乡
'ao'yi'ya'yi'la'ke'xiang 奥依亚依拉克乡
'ao'yin'wu'su'xiang 敖音勿苏乡
'ao'yun'cun'di'qu 奥运村地区
'ao'yun'cun'xiang 奥运村乡
'ao'zhai'dong'zu'xiang 熬寨侗族乡
'ao'zi'zhen 坳仔镇
'ba'ba'jie'dao 八八街道
'ba'bai'qiao'zhen 八百桥镇
'ba'bai'shang'jie'dao 八百垧街道
'ba'bang'xiang 八邦乡
'ba'bao'chao'xian'zu'zhen 八宝朝鲜族镇
'ba'bao'shan'jie'dao 八宝山街道
'ba'bao'yi'zu'miao'zu'xiang 八堡彝族苗族乡
'ba'bao'zhen 八宝镇
'ba'bao'zhuang'she'qu 八宝庄社区
'ba'bei'ju'wei'hui 坝北居委会
'ba'bei'she'qu 八北社区
'ba'bie'xiang 巴别乡
'ba'bu'nong'chang 八布农场
'ba'bu'qu 八步区
'ba'bu'xiang 八布乡
'ba'bu'xiang 八步乡
'ba'bu'zhen 八步镇
'ba'cang'gou'hui'zu'xiang 巴藏沟回族乡
'ba'cang'xiang 巴藏乡
'ba'cha'he'zhe'zu'xiang 八岔赫哲族乡
'ba'cha'lu'zhen 八岔路镇
'ba'che'qu 八坼区
'ba'cheng'zhen 巴城镇
'ba'chi'gang'zhen 扒齿港镇
'ba'chi'zhen 八尺镇
'ba'chou'xiang 巴畴乡
'ba'chu'xian 巴楚县
'ba'chu'zhen 巴楚镇
'ba'chuan'zhen 巴川镇
'ba'cun 八村
'ba'cun'zhen 巴村镇
'ba'da'chu'she'qu 八大处社区
'ba'da'er'hu'nong'chang 巴达尔胡农场
'ba'da'er'hu'zhen 巴达尔胡镇
'ba'da'gong'shan'xiang 八大公山乡
'ba'da'guan'jie'dao 八大关街道
'ba'da'he'xiang 八大河乡
'ba'da'hu'jie'dao 八大湖街道
'ba'da'ling'zhen 八达岭镇
'ba'da'ling'zhen'she'qu 八达岭镇社区
'ba'da'xia'jie'dao 八大峡街道
'ba'da'xiang 巴达乡
'ba'da'ying'meng'gu'zu'xiang 八达营蒙古族乡
'ba'da'zhen 八达镇
'ba'dai'xiang 巴岱乡
'ba'dan'xiang 八丹乡
'ba'dao'gou'zhen 八道沟镇
'ba'dao'hao'zhen 八道壕镇
'ba'dao'he'cun 八道河村
'ba'dao'he'xiang 八道河乡
'ba'dao'he'zi'zhen 八道河子镇
'ba'dao'jiang'qu 八道江区
'ba'dao'jie'dao 八道街道
'ba'dao'shao'yi'zu'xiang 八道哨彝族乡
'ba'dao'wan'jie'dao 八道湾街道
'ba'de'shi 八德市
'ba'de'xiang 八德乡
'ba'di'xiang 坝底乡
'ba'di'xiang 巴迪乡
'ba'di'xiang 巴底乡
'ba'ding'xiang 巴定乡
'ba'dong'xian 巴东县
'ba'dong'xiang 巴洞乡
'ba'dong'zhen 八洞镇
'ba'dou'zhen 八都镇
'ba'dou'zhen 八陡镇
'ba'dou'zhen 八斗镇
'ba'du'cun 八渡村
'ba'du'xiang 八渡乡
'ba'du'yao'zu'xiang 八渡瑶族乡
'ba'du'zhen 八渡镇
'ba'er'lu'ke'shan'ta'si'te'lin'chang 巴尔鲁克山塔斯特林场
'ba'er'zhen 八耳镇
'ba'fang'jie'dao 八坊街道
'ba'fang'zi'cun 坝房子村
'ba'feng'kai'fa'qu 八峰开发区
'ba'fu'zhen 巴福镇
'ba'ga'bo'ri'he'su'mu 巴嘎波日和苏木
'ba'ga'ta'la'su'mu 巴嘎塔拉苏木
'ba'ga'wu'tu'bu'la'ge'mu'chang 巴嘎乌图布拉格牧场
'ba'ga'xiang 八嘎乡
'ba'ga'xiang 巴嘎乡
'ba'gai'xiang 八盖乡
'ba'gan'xiang 巴干乡
'ba'gang'xiang 八岗乡
'ba'ge'a'wa'ti'xiang 巴格阿瓦提乡
'ba'ge'ai'ri'ke'xiang 巴格艾日克乡
'ba'ge'qi'zhen 巴格其镇
'ba'ge'tuo'ge'la'ke'xiang 巴格托格拉克乡
'ba'ge'zhuang'cun 八各庄村
'ba'ge'zhuang'cun 巴各庄村
'ba'gong'qiao'zhen 八公桥镇
'ba'gong'shan'qu 八公山区
'ba'gong'shan'xiang 八公山乡
'ba'gong'shan'zhen 八公山镇
'ba'gong'zhen 八弓镇
'ba'gong'zhen 巴公镇
'ba'gong'zhen 拔贡镇
'ba'gou'xiang 巴沟乡
'ba'gou'zhen 芭沟镇
'ba'gu'xiang 巴古乡
'ba'gu'xiang 巴姑乡
'ba'gu'zhen 坝固镇
'ba'gua'ling'man'zu'xiang 八卦岭满族乡
'ba'gua'shan'lin'chang 八卦山林场
'ba'gua'zhou'jie'dao 八卦洲街道
'ba'gui'yao'zu'xiang 八桂瑶族乡
